   Frequency       O5aStrain        O5bStrain       O5cStrain
   5.3699400e+00   1.6710375e-18   8.3551877e-19   3.3420754e-19
   5.3749000e+00   1.6707738e-18   8.3538691e-19   3.3415480e-19
   5.3798600e+00   1.6672691e-18   8.3363455e-19   3.3345385e-19
   5.3848300e+00   1.6605216e-18   8.3026079e-19   3.3210435e-19
   5.3898000e+00   1.6505269e-18   8.2526347e-19   3.3010542e-19
   5.3947800e+00   1.6404563e-18   8.2022815e-19   3.2809130e-19
   5.3997700e+00   1.6303755e-18   8.1518775e-19   3.2607513e-19
   5.4047500e+00   1.6202859e-18   8.1014297e-19   3.2405722e-19
   5.4097500e+00   1.6101864e-18   8.0509319e-19   3.2203731e-19
   5.4147400e+00   1.6000778e-18   8.0003891e-19   3.2001560e-19
   5.4197400e+00   1.5899593e-18   7.9497966e-19   3.1799190e-19
   5.4247500e+00   1.5798328e-18   7.8991643e-19   3.1596661e-19
   5.4297600e+00   1.5696965e-18   7.8484823e-19   3.1393933e-19
   5.4347800e+00   1.5595510e-18   7.7977552e-19   3.1191024e-19
   5.4398000e+00   1.5493967e-18   7.7469833e-19   3.0987937e-19
   5.4448200e+00   1.5392333e-18   7.6961666e-19   3.0784670e-19
   5.4498500e+00   1.5290591e-18   7.6452956e-19   3.0581186e-19
   5.4548900e+00   1.5188758e-18   7.5943792e-19   3.0377520e-19
   5.4599200e+00   1.5086835e-18   7.5434177e-19   3.0173675e-19
   5.4649700e+00   1.4984815e-18   7.4924077e-19   2.9969634e-19
   5.4700100e+00   1.4882703e-18   7.4413517e-19   2.9765410e-19
   5.4750700e+00   1.4780501e-18   7.3902507e-19   2.9561006e-19
   5.4801200e+00   1.4678198e-18   7.3390991e-19   2.9356400e-19
   5.4851900e+00   1.4575807e-18   7.2879034e-19   2.9151617e-19
   5.4902500e+00   1.4475405e-18   7.2377028e-19   2.8950815e-19
   5.4953200e+00   1.4401263e-18   7.2006315e-19   2.8802529e-19
   5.5004000e+00   1.4353412e-18   7.1767061e-19   2.8706828e-19
   5.5054800e+00   1.4331882e-18   7.1659409e-19   2.8663767e-19
   5.5105700e+00   1.4336682e-18   7.1683409e-19   2.8673367e-19
   5.5156600e+00   1.4365772e-18   7.1828860e-19   2.8731547e-19
   5.5207500e+00   1.4394882e-18   7.1974413e-19   2.8789769e-19
   5.5258500e+00   1.4424022e-18   7.2120113e-19   2.8848049e-19
   5.5309600e+00   1.4453193e-18   7.2265967e-19   2.8906390e-19
   5.5360600e+00   1.4482395e-18   7.2411974e-19   2.8964793e-19
   5.5411800e+00   1.4511615e-18   7.2558077e-19   2.9023234e-19
   5.5463000e+00   1.4540867e-18   7.2704336e-19   2.9081738e-19
   5.5514200e+00   1.4570149e-18   7.2850747e-19   2.9140302e-19
   5.5565500e+00   1.4599452e-18   7.2997258e-19   2.9198907e-19
   5.5616800e+00   1.4628784e-18   7.3143922e-19   2.9257572e-19
   5.5668200e+00   1.4658147e-18   7.3290736e-19   2.9316298e-19
   5.5719600e+00   1.4687540e-18   7.3437702e-19   2.9375084e-19
   5.5771100e+00   1.4716954e-18   7.3584769e-19   2.9433911e-19
   5.5822600e+00   1.4746397e-18   7.3731987e-19   2.9492798e-19
   5.5874100e+00   1.4775870e-18   7.3879353e-19   2.9551744e-19
   5.5925700e+00   1.4805365e-18   7.4026823e-19   2.9610733e-19
   5.5977400e+00   1.4834889e-18   7.4174445e-19   2.9669781e-19
   5.6029100e+00   1.4864444e-18   7.4322221e-19   2.9728892e-19
   5.6080900e+00   1.4894029e-18   7.4470146e-19   2.9788061e-19
   5.6132700e+00   1.4923644e-18   7.4618221e-19   2.9847292e-19
   5.6184500e+00   1.4944168e-18   7.4720842e-19   2.9888340e-19
   5.6236400e+00   1.4952364e-18   7.4761820e-19   2.9904731e-19
   5.6288400e+00   1.4948220e-18   7.4741101e-19   2.9896444e-19
   5.6340300e+00   1.4931725e-18   7.4658626e-19   2.9863454e-19
   5.6392400e+00   1.4902862e-18   7.4514309e-19   2.9805727e-19
   5.6444500e+00   1.4870749e-18   7.4353743e-19   2.9741500e-19
   5.6496600e+00   1.4838606e-18   7.4193029e-19   2.9677215e-19
   5.6548800e+00   1.4806433e-18   7.4032165e-19   2.9612869e-19
   5.6601000e+00   1.4774231e-18   7.3871154e-19   2.9548465e-19
   5.6653300e+00   1.4741999e-18   7.3709994e-19   2.9484001e-19
   5.6705600e+00   1.4709737e-18   7.3548685e-19   2.9419477e-19
   5.6758000e+00   1.4677445e-18   7.3387226e-19   2.9354894e-19
   5.6810500e+00   1.4645124e-18   7.3225621e-19   2.9290252e-19
   5.6862900e+00   1.4612773e-18   7.3063866e-19   2.9225550e-19
   5.6915500e+00   1.4580392e-18   7.2901961e-19   2.9160788e-19
   5.6968000e+00   1.4547981e-18   7.2739904e-19   2.9095965e-19
   5.7020600e+00   1.4515540e-18   7.2577702e-19   2.9031084e-19
   5.7073300e+00   1.4483070e-18   7.2415351e-19   2.8966144e-19
   5.7126000e+00   1.4450571e-18   7.2252855e-19   2.8901145e-19
   5.7178800e+00   1.4418041e-18   7.2090206e-19   2.8836086e-19
   5.7231600e+00   1.4385482e-18   7.1927409e-19   2.8770967e-19
   5.7284500e+00   1.4352893e-18   7.1764464e-19   2.8705789e-19
   5.7337400e+00   1.4320274e-18   7.1601369e-19   2.8640551e-19
   5.7390400e+00   1.4287625e-18   7.1438126e-19   2.8575253e-19
